Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_354_brier,0_354_san,354_709_brier,354_709_san,709_1064_brier,709_1064_san,1064_1419_brier,1064_1419_san,1419_1774_brier,1419_1774_san,1774_2128_brier,1774_2128_san,2128_2483_brier,2128_2483_san,2483_2838_brier,2483_2838_san,2838_3193_brier,2838_3193_san,3193_3548_brier,3193_3548_san,acc,brier,san
EleutherAI/pythia-2.8b-deduped,Pythia,2.8,0.3,5.04,0.267846374,0.362627986,0.60655248,0.602209945,0.355597823,0.008339651,0.639989047,0.048780488,EleutherAI,202302.0,0.2663438257,bdsrc,,,,0.0011476703573591355,0.0335647307718809,0.014625887424286277,0.04368004859415603,0.04383234397904733,0.047290555259718835,0.09567382796536417,0.03359004970366566,0.2001292746507393,0.027373280108089502,0.3586381602846916,0.017398093362873325,0.5418816623578504,0.027826889260236885,0.7744500640372476,0.009641298657615196,0.932411418882408,0.0087279367925924,0.9966839737452083,0.0039152614529279215,0.5473506200676438,0.39606921783462473,0.025300712593855326
EleutherAI/pythia-12b-deduped,Pythia,12.0,0.3,21.6,0.256306029,0.413822526,0.702648875,0.664561957,0.329988729,0.014404852,0.682420515,0.115853659,EleutherAI,202302.0,0.2617148554,bdsrc,,,,0.0009678688963876832,0.04701506506460447,0.010857014065949373,0.06384537109309439,0.02920003755151477,0.071525669677268,0.06279084355055621,0.05227070538391356,0.14370077665328287,0.046062591086048967,0.2522727539964551,0.031187904439896486,0.4352030847814781,0.03265097716690719,0.6818612421802902,0.017743604586798387,0.9008619134329776,0.011483909707762443,0.9933011940312026,0.005861533410028325,0.5921645997745209,0.3512282125766179,0.03796409237719559
EleutherAI/pythia-70m-deduped,Pythia,0.07,0.3,0.126,0.25260507,0.210750853,0.271659032,0.496448303,0.475143855,0.0,0.510099914,0.0,EleutherAI,202302.0,0.2573707449,bdsrc,,,,0.06856334125451848,0.0006880246734447179,0.30848861827151836,0.00032383205378627104,0.48856137208378936,0.0002157467718823597,0.5886751727529643,0.000298167215138149,0.6287717228882342,0.0003052961472514393,0.7057787918762163,0.00021700090914624455,0.7424528012245616,0.0004674735090417512,0.7942682087964867,0.00016831946273537215,0.8768696950154043,8.995282839483161e-05,0.9869508496548596,2.0177090206739773e-05,0.30467869222096955,0.6190687039381209,0.0002793014822667151
EleutherAI/pythia-1.4b-deduped,Pythia,1.4,0.3,2.52,0.255554967,0.326791809,0.549591715,0.573007103,0.386584645,0.008339651,0.594062854,0.042682927,EleutherAI,202302.0,0.2502492522,bdsrc,,,,0.0027649619391169693,0.02838398666007522,0.017336390253982155,0.031095478116465843,0.05978126974077217,0.0333794956664916,0.1320905246778925,0.024652505030261295,0.26616248741975124,0.021773541904998184,0.466464683447557,0.011745680781046638,0.6365016439269816,0.019545669660912143,0.809382737636914,0.009736639538133272,0.9397502880792407,0.008251189311224889,0.9971101244119152,0.001284271833932523,0.5104284103720406,0.4328461907974155,0.01898423706350513
EleutherAI/pythia-160m-deduped,Pythia,0.16,0.3,0.288,0.24860575,0.240614334,0.313881697,0.513812155,0.443404464,0.00227445,0.523599803,0.0,EleutherAI,202302.0,0.2527417747,bdsrc,,,,0.017666811298343903,0.0018436963317218303,0.13912183765443734,0.0023518938217995805,0.31302826367549225,0.001976398172095215,0.5023745702180319,0.002087569371088482,0.5921222980327795,0.001889244964382552,0.6768590072036157,0.0015918656181356983,0.7269013183931147,0.005492865926235626,0.8221226371052838,0.0016396025233526125,0.9187563396065168,0.0011220739120784296,0.990638336739137,7.090630617251748e-05,0.3599210822998873,0.5700846753820435,0.0020067745079642993
bigscience/bloom-560m,BLOOM,0.56,0.341,1.14576,0.242154121,0.247440273,0.371539534,0.519337017,0.424442817,0.0030326,0.578551515,0.006097561,bigscience(huggingface),202207.0,0.2444096283,rllab,,,,0.01043836342747577,0.006834905087760191,0.08311836727013391,0.008130950168891092,0.22785002828620932,0.009165809512753111,0.3977167296392395,0.005668090800718613,0.5151459779647213,0.004603174030623411,0.6417228082023766,0.004423940517594766,0.7188351035632542,0.009094855603917106,0.8078633183229946,0.003501808079989669,0.9185817336936607,0.0024986748871173928,0.9945131654378488,0.00026918141638229486,0.4016347237880496,0.5316943983484149,0.005419020474051595
bigscience/bloom-1b1,BLOOM,1.1,0.341,2.2506,0.267021483,0.283276451,0.427803226,0.55011839,0.41797167,0.00227445,0.609512962,0.0,bigscience(huggingface),202207.0,0.2658453212,rllab,,,,0.008440112951084105,0.014796290968547711,0.05691449655106215,0.01381937140463331,0.16216980472607392,0.012980238896017304,0.3146863677029742,0.009006384136332394,0.4473925615284952,0.006834680092504613,0.5842323412885949,0.007863838638396636,0.688270778426785,0.013650522319341706,0.8102977822842539,0.003900328526193749,0.9237717489692321,0.0027517529246446665,0.9952357161574059,0.0004020475532994488,0.43291995490417134,0.4992554917710759,0.00859900692183249
bigscience/bloom-3b,BLOOM,3.0,0.341,6.138,0.265925092,0.357508532,0.543716391,0.576164167,0.40572463,0.015163002,0.664767416,0.018292683,bigscience(huggingface),202207.0,0.2593647629,rllab,,,,0.001405776816204878,0.033117612929394864,0.015481386776051534,0.04553890765886238,0.05205750500888759,0.04054132471387038,0.1290110775435119,0.03208715997492196,0.2551241886659942,0.02377912523227393,0.4464569733325223,0.020683053179051916,0.6318557136009557,0.025738868138556966,0.7795276616145127,0.011986558238453706,0.9319779565874553,0.009398416919751051,0.996523888230882,0.002988141019233719,0.5180383314543405,0.424054958498499,0.02458461216895239
bigscience/bloom-7b1,BLOOM,7.1,0.341,14.5266,0.262462224,0.411262799,0.619996017,0.6543015,0.388978422,0.013646702,0.697719119,0.048780488,bigscience(huggingface),202207.0,0.2629967241,rllab,,,,0.002708850648013385,0.03945578145109182,0.009438461214349889,0.052675438995101645,0.0295713883258583,0.051774683884934725,0.0666576877023673,0.03953035142112177,0.1842452822222393,0.03108941983041897,0.31851890104717157,0.022888095447448634,0.5376373596279356,0.02580317974540615,0.7567294300400974,0.012287325284043638,0.9224989274035851,0.010592183276697953,0.9957301969095342,0.004219290143761848,0.564543404735062,0.3824986540229471,0.02903036842968186
bigscience/bloom,BLOOM,176.0,0.366,386.496,0.308540091,0.504266212,0.764090819,0.720599842,0.397596228,0.06899166,0.735544419,0.12195122,bigscience(huggingface),202207.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
