Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_34_brier,0_34_san,34_68_brier,34_68_san,68_103_brier,68_103_san,acc,brier,san
bigscience/bloom-3b,BLOOM,3.0,0.341,6.138,0.265925092,0.357508532,0.543716391,0.576164167,0.40572463,0.015163002,0.664767416,0.018292683,bigscience(huggingface),202207.0,0.2593647629,rllab,,,,0.26294748720601435,0.09597306742343961,0.689408090758143,0.08372702552638377,0.8415999638376074,0.08724325571215114,0.2621359223300971,0.6003503726708505,0.08896424378853673
bigscience/bloom-7b1,BLOOM,7.1,0.341,14.5266,0.262462224,0.411262799,0.619996017,0.6543015,0.388978422,0.013646702,0.697719119,0.048780488,bigscience(huggingface),202207.0,0.2629967241,rllab,,,,0.2815837225936874,0.0559234808757651,0.6430952515556932,0.04077590733127095,0.8104733986182204,0.037882901269836296,0.30097087378640774,0.580637418181715,0.04479301692702423
bigscience/bloom,BLOOM,176.0,0.366,386.496,0.308540091,0.504266212,0.764090819,0.720599842,0.397596228,0.06899166,0.735544419,0.12195122,bigscience(huggingface),202207.0,,,,,,,,,,,,,,
EleutherAI/gpt-neox-20b,GPT-Neo/J,20.0,0.472,56.64,0.250025953,0.457337884,0.734515037,0.689029203,0.31613146,0.054586808,0.716280975,0.12804878,EleutherAI,202103.0,0.2487537388,bdsrc,,,,0.27663143824515424,0.853480860026127,0.6571315575059754,0.8222910225656856,0.8454907817316009,0.8722571718818165,0.30097087378640774,0.5955351380208196,0.8495654856697591
EleutherAI/gpt-neo-2.7B,GPT-Neo/J,2.7,0.42,6.804,0.264539788,0.333617747,0.562437761,0.600631413,0.397779599,0.012888552,0.573989469,0.067073171,EleutherAI,202103.0,0.2656316764,bdsrc,,,,0.3211911119272668,0.8262082927431134,0.6862813819633298,0.813955890509253,0.8621891209574665,0.8481773214603887,0.2912621359223301,0.625540621609627,0.8296290143853791
EleutherAI/gpt-neo-1.3B,GPT-Neo/J,1.3,0.38,2.964,0.248216555,0.312286689,0.484664409,0.569060773,0.39629306,0.004548901,0.561091098,0.036585366,EleutherAI,202103.0,0.2445520581,bdsrc,,,,0.3453971076245012,0.6559073842606469,0.7003255475670607,0.6616671088506507,0.8527516375742412,0.6844135867525769,0.2815533980582524,0.6349599766175877,0.6674952262342163
EleutherAI/gpt-neo-125m,GPT-Neo/J,0.125,0.3,0.225,0.259703914,0.229522184,0.302628958,0.517758485,0.455761631,0.0030326,0.502213531,0.006097561,EleutherAI,202103.0,0.2579404643,bdsrc,,,,0.5437294949323029,0.15643088842585648,0.6192283577769003,0.19427297993807832,0.8272035226239859,0.1408662337203273,0.23300970873786409,0.6649775755723534,0.16363349227752655
EleutherAI/gpt-j-6b,GPT-Neo/J,6.05,0.402,14.5926,0.267839994,0.413822526,0.675363473,0.659826361,0.359624729,0.029567854,0.681077656,0.115853659,EleutherAI,202103.0,0.2693348526,bdsrc,,,,0.39947546941367434,0.8239199626086202,0.6583205026282338,0.8595745313962164,0.8648174758102248,0.8391364639384798,0.23300970873786409,0.6430453854639102,0.8408600877088475
facebook/opt-6.7b,OPT,6.7,0.18,7.236,0.245674066,0.391638225,0.686616212,0.659826361,0.351221498,0.009855951,0.594269081,0.006097561,meta,202205.0,0.2483264492,bdsrc,,,,0.38607739035873234,0.8221451125887862,0.6762888682605296,0.8465781389254559,0.8427842971411185,0.8614297872729099,0.2621359223300971,0.6370670212912044,0.843559544718796
facebook/opt-1.3b,OPT,1.3,0.18,1.404,0.249630458,0.295221843,0.545309699,0.597474349,0.387106758,0.0015163,0.544028761,0.0,meta,202205.0,0.2471870104,bdsrc,,,,0.3366052409444969,0.7881921340021599,0.6748122035976973,0.791583019141264,0.8588567268892914,0.8379877227565419,0.2815533980582524,0.625710471413202,0.8062322864403433
facebook/opt-350m,OPT,0.35,0.18,0.378,0.260230967,0.235494881,0.367257518,0.52644041,0.408285328,0.0030326,0.51811094,0.0,meta,202205.0,0.2612875659,bdsrc,,,,0.471645138245249,0.40003469829358135,0.6122844975088597,0.3807931935914805,0.7971934184143444,0.41522125352463507,0.27184466019417475,0.6286929831081722,0.3988436135675178
facebook/opt-13b,OPT,13.0,0.18,14.04,0.248956622,0.399317406,0.71200956,0.685082873,0.340958399,0.017437453,0.608779356,0.006097561,meta,202205.0,0.2527417747,bdsrc,,,,0.4472758027098843,0.8363579167001266,0.6271305621239083,0.857936730113943,0.7641162710216989,0.8767655632363549,0.23300970873786409,0.6143095717486253,0.8572117738344739
facebook/opt-2.7b,OPT,2.7,0.18,2.916,0.254319729,0.339590444,0.614319857,0.619573796,0.37425418,0.00227445,0.568486894,0.0,meta,202205.0,0.2543085031,bdsrc,,,,0.4699738597886462,0.7344467286096328,0.7236678126381474,0.7584011660155059,0.8201627238642998,0.7816224627298825,0.1941747572815534,0.6727137106578789,0.7583846078912682
facebook/opt-30b,OPT,30.0,0.18,32.4,0.2665873,0.432593857,0.740689106,0.706393054,0.351638263,0.021986353,0.626407888,0.012195122,meta,202205.0,0.2675544794,bdsrc,,,,0.41431868939110467,0.86273058306077,0.6671259218040793,0.8919373227969086,0.8342397636958765,0.8930463086289493,0.2524271844660194,0.6404612476698248,0.8826731029240228
facebook/opt-125m,OPT,0.125,0.18,0.135,0.260155876,0.228668942,0.314678351,0.516179953,0.42868758,0.00075815,0.498684238,0.0,meta,202205.0,0.2607178465,bdsrc,,,,0.5437855786121689,0.19235080508237223,0.5770418134419916,0.2106054655299713,0.7610735868723605,0.16096032801747276,0.27184466019417475,0.6285990958288744,0.18770994836340998
facebook/opt-66b,OPT,66.0,0.18,71.28,0.269930021,0.46331058,0.76249751,0.700078927,0.35429656,0.016679303,0.642631463,0.012195122,meta,202205.0,,,,,,,,,,,,,,
mosaicml/mpt-30b,MPT,30.0,1.0,180.0,0.479981807,0.559726962,0.8242382,0.749013418,0.384155825,0.169067475,0.745335406,0.213414634,mosaicml,202306.0,0.4727246831,bdsrc,,,,0.23877038448178065,0.9708940332936941,0.377438359333462,0.957157878339609,0.48904128743391967,0.9634653320056336,0.5631067961165048,0.3695877898049071,0.9638354525798976
mosaicml/mpt-7b,MPT,7.0,1.0,42.0,0.280684314,0.476962457,0.775343557,0.721389108,0.335450604,0.040181956,0.714400118,0.164634146,mosaicml,202305.0,,bdsrc,,,,0.37758772522080863,0.912964729981986,0.5297200852685378,0.9155235332444674,0.6039049033673485,0.924020729742773,0.36893203883495146,0.5047100696552909,0.9175662766087036
