Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_105_brier,0_105_san,105_210_brier,105_210_san,210_315_brier,210_315_san,315_420_brier,315_420_san,420_525_brier,420_525_san,525_630_brier,525_630_san,630_735_brier,630_735_san,735_840_brier,735_840_san,840_945_brier,840_945_san,945_1050_brier,945_1050_san,acc,brier,san
EleutherAI/pythia-6.9b-deduped,Pythia,6.9,0.3,12.42,0.264809441,0.412969283,0.670483967,0.640883978,0.351945849,0.016679303,0.652470454,0.085365854,EleutherAI,202302.0,0.2605754166,bdsrc,,,,0.2499013512116333,0.5584332973929937,0.37398196667314804,0.5270221576508098,0.4625946581677898,0.4862116894810096,0.5428143512578764,0.5520028315642178,0.6067526147700321,0.5301294793668283,0.6766588341330217,0.5167231195335904,0.7193572436488505,0.5039264703160303,0.7494875338699168,0.5577684275957496,0.7831482146809284,0.498387155327833,0.8831346183068911,0.4315922827227484,0.25523809523809526,0.6047831386720086,0.5162196910951813
EleutherAI/pythia-2.8b-deduped,Pythia,2.8,0.3,5.04,0.267846374,0.362627986,0.60655248,0.602209945,0.355597823,0.008339651,0.639989047,0.048780488,EleutherAI,202302.0,0.2663438257,bdsrc,,,,0.14982565072978124,0.5438344782060749,0.3020866242505275,0.5457918217304049,0.5227227945465925,0.5036305052924034,0.5790276286942436,0.5827208220579303,0.6622247220369586,0.5321367569011799,0.7400455230488971,0.5386538085690769,0.7752569523475894,0.5381379401991596,0.8039956788381332,0.5760162512637893,0.8540734234316307,0.5404049645941122,0.9046485231475275,0.45473127629807775,0.24571428571428572,0.6293907521071878,0.5356058625112206
EleutherAI/pythia-12b-deduped,Pythia,12.0,0.3,21.6,0.256306029,0.413822526,0.702648875,0.664561957,0.329988729,0.014404852,0.682420515,0.115853659,EleutherAI,202302.0,0.2617148554,bdsrc,,,,0.20279483691242628,0.6776987308969639,0.3713943883279538,0.6578889708773824,0.4966199730325072,0.574511467847878,0.5615161613029862,0.6586700578940411,0.632852069480462,0.6230428001726139,0.6722867847845815,0.6258720906599862,0.662825153274524,0.6144880657722723,0.7321996042961996,0.6584216818284968,0.7716629863760297,0.6044857777971124,0.872377567870634,0.5340481566711374,0.26857142857142857,0.5976529525658305,0.6229127800417886
EleutherAI/pythia-70m-deduped,Pythia,0.07,0.3,0.126,0.25260507,0.210750853,0.271659032,0.496448303,0.475143855,0.0,0.510099914,0.0,EleutherAI,202302.0,0.2573707449,bdsrc,,,,0.6223059671404219,0.01803353070821837,0.6436100913678862,0.022962588667298132,0.6318264991609638,0.021455759517524854,0.6183355558049318,0.024203335891374102,0.6721871345249608,0.01920856429792441,0.597734861582756,0.013758802922285419,0.6258845468980219,0.014478351437667106,0.6979862618200176,0.02846243846804239,0.7479095630631248,0.014589999879480961,0.7926863448488587,0.017553287415687572,0.21619047619047618,0.6650466826211939,0.01947066592055031
EleutherAI/pythia-1.4b-deduped,Pythia,1.4,0.3,2.52,0.255554967,0.326791809,0.549591715,0.573007103,0.386584645,0.008339651,0.594062854,0.042682927,EleutherAI,202302.0,0.2502492522,bdsrc,,,,0.1750464126787245,0.3771526751246307,0.3110658273511795,0.37179088812542677,0.4490918634810468,0.3489078217762703,0.6135846830122503,0.3730051138728526,0.6551847488620893,0.33507845394919406,0.6992801257436247,0.34107624522476715,0.7595236024100247,0.3223457025776748,0.7719411538792887,0.37164643375964934,0.8422062952680872,0.3237444043232581,0.8897847554853214,0.29385050869018053,0.2561904761904762,0.6166709468171633,0.34585982474239035
EleutherAI/pythia-160m-deduped,Pythia,0.16,0.3,0.288,0.24860575,0.240614334,0.313881697,0.513812155,0.443404464,0.00227445,0.523599803,0.0,EleutherAI,202302.0,0.2527417747,bdsrc,,,,0.33954711469760357,0.07716797401394386,0.512894773263555,0.08900645628800884,0.5668598786366393,0.08094337446908739,0.5780642383567218,0.08612366568877122,0.6400836138464966,0.06429867964303133,0.6441978134745441,0.0845343047482843,0.6586875856635893,0.06769785294964663,0.7764944426291234,0.08321777591602757,0.7876022781361818,0.06038531556023632,0.8395169674022728,0.06271943361875745,0.24857142857142858,0.6343948706106726,0.07560948328957931
bigscience/bloom-560m,BLOOM,0.56,0.341,1.14576,0.242154121,0.247440273,0.371539534,0.519337017,0.424442817,0.0030326,0.578551515,0.006097561,bigscience(huggingface),202207.0,0.2444096283,rllab,,,,0.24138990680524774,0.32073646551651613,0.39382028902663474,0.3171985935856625,0.5847784082318846,0.30384204604583437,0.6743670978398506,0.35206580835874485,0.687393087049888,0.33983972689542596,0.7136534077357013,0.3374673245459825,0.7729425922067771,0.2761324106144669,0.8307596251748705,0.34036080764793153,0.799765304637867,0.31237800268801985,0.9091151759109876,0.28453865802711453,0.24952380952380954,0.6607984894619698,0.31845598439256967
bigscience/bloom-1b1,BLOOM,1.1,0.341,2.2506,0.267021483,0.283276451,0.427803226,0.55011839,0.41797167,0.00227445,0.609512962,0.0,bigscience(huggingface),202207.0,0.2658453212,rllab,,,,0.23665276961018156,0.3872299424407273,0.396921839892484,0.3989760423822409,0.6327927348875033,0.3672498011117063,0.5987704231780967,0.4182321870419128,0.6637215821447219,0.3918703028916052,0.6858822017480651,0.38751699791131905,0.7988985250116576,0.37640833112735783,0.7878163160693988,0.37942828971849707,0.8229103310137943,0.35386826082347955,0.8765378040382474,0.2949079697586619,0.24095238095238095,0.6500904527594142,0.3755688125207511
bigscience/bloom-3b,BLOOM,3.0,0.341,6.138,0.265925092,0.357508532,0.543716391,0.576164167,0.40572463,0.015163002,0.664767416,0.018292683,bigscience(huggingface),202207.0,0.2593647629,rllab,,,,0.21592103068002286,0.5679221780465484,0.4206703610102587,0.5549488209477837,0.588436801171721,0.4907521848537001,0.5886964711699334,0.5791977124929629,0.7013680198452941,0.5492919881347187,0.7256378693743779,0.5630039704110295,0.8143709945213486,0.5232112231076662,0.7618709627476544,0.5523714734793088,0.7959765302502313,0.5070671914823639,0.857298060911306,0.4439321519948,0.23142857142857143,0.6470247101682147,0.5331698894950891
bigscience/bloom-7b1,BLOOM,7.1,0.341,14.5266,0.262462224,0.411262799,0.619996017,0.6543015,0.388978422,0.013646702,0.697719119,0.048780488,bigscience(huggingface),202207.0,0.2629967241,rllab,,,,0.3237794075814887,0.5911854141301476,0.44784823436815513,0.5801345231522606,0.5449539060928428,0.5124614492778058,0.5817500946986932,0.5674185426572134,0.6284137980029072,0.5628408415222339,0.6207779587151266,0.5726411384376772,0.6834833260648804,0.5404852720902139,0.7228889618222296,0.5693200678273242,0.7646620882912085,0.5431168811152385,0.83763260257027,0.45026555812782443,0.24666666666666667,0.6156190378207796,0.5489869688337936
