Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_5007_brier,0_5007_san,5007_10015_brier,5007_10015_san,10015_15023_brier,10015_15023_san,acc,brier,san
bigscience/bloom-3b,BLOOM,3.0,0.341,6.138,0.265925092,0.357508532,0.543716391,0.576164167,0.40572463,0.015163002,0.664767416,0.018292683,bigscience(huggingface),202207.0,0.2593647629,rllab,,,,0.162775659246378,0.5330813911617476,0.6766796676464701,0.4964125410949977,0.9166883465053897,0.5199170676559622,0.34513745590095185,0.5854093550368875,0.5164692275957966
bigscience/bloom-7b1,BLOOM,7.1,0.341,14.5266,0.262462224,0.411262799,0.619996017,0.6543015,0.388978422,0.013646702,0.697719119,0.048780488,bigscience(huggingface),202207.0,0.2629967241,rllab,,,,0.23440974378539495,0.7049005337222908,0.6513410584253347,0.6145623007758305,0.8726229284377979,0.676246357409161,0.32709844904479796,0.586147988640356,0.6652337570750168
bigscience/bloom,BLOOM,176.0,0.366,386.496,0.308540091,0.504266212,0.764090819,0.720599842,0.397596228,0.06899166,0.735544419,0.12195122,bigscience(huggingface),202207.0,,,,,,,,,,,,,,
EleutherAI/gpt-neox-20b,GPT-Neo/J,20.0,0.472,56.64,0.250025953,0.457337884,0.734515037,0.689029203,0.31613146,0.054586808,0.716280975,0.12804878,EleutherAI,202103.0,0.2487537388,bdsrc,,,,0.1301284108691477,0.8258490566005864,0.6742856599738426,0.7348254090062764,0.9223242431515312,0.7799728935119581,0.35359116022099446,0.5756090892680361,0.7802127488125168
EleutherAI/gpt-neo-2.7B,GPT-Neo/J,2.7,0.42,6.804,0.264539788,0.333617747,0.562437761,0.600631413,0.397779599,0.012888552,0.573989469,0.067073171,EleutherAI,202103.0,0.2656316764,bdsrc,,,,0.15902233632240467,0.6263245081506215,0.6489922575952591,0.6083328703030398,0.92094455839271,0.6345460698965518,0.3529920788124875,0.5763474946704387,0.6230675993363269
EleutherAI/gpt-neo-1.3B,GPT-Neo/J,1.3,0.38,2.964,0.248216555,0.312286689,0.484664409,0.569060773,0.39629306,0.004548901,0.561091098,0.036585366,EleutherAI,202103.0,0.2445520581,bdsrc,,,,0.1374599885185944,0.6617775543953278,0.6852812123521639,0.6535230693450584,0.9572734583856473,0.6661082335882214,0.3410770152432936,0.5933685651046781,0.6604695320473449
EleutherAI/gpt-neo-125m,GPT-Neo/J,0.125,0.3,0.225,0.259703914,0.229522184,0.302628958,0.517758485,0.455761631,0.0030326,0.502213531,0.006097561,EleutherAI,202103.0,0.2579404643,bdsrc,,,,0.2581988877377917,0.15644923877856134,0.6406808691634873,0.15890412634584877,0.8549113325867878,0.15253489959024882,0.32902882247220927,0.5846187563914341,0.15596272252228172
EleutherAI/gpt-j-6b,GPT-Neo/J,6.05,0.402,14.5926,0.267839994,0.413822526,0.675363473,0.659826361,0.359624729,0.029567854,0.681077656,0.115853659,EleutherAI,202103.0,0.2693348526,bdsrc,,,,0.132858221845817,0.8201856871158115,0.6545811702475376,0.7385934404378178,0.9004857245378882,0.7609402250907787,0.3677694202223258,0.5626703139098309,0.7732366592795097
facebook/opt-6.7b,OPT,6.7,0.18,7.236,0.245674066,0.391638225,0.686616212,0.659826361,0.351221498,0.009855951,0.594269081,0.006097561,meta,202205.0,0.2483264492,bdsrc,,,,0.07005264215944852,0.6510566916166741,0.5898123531585471,0.5487822189355306,0.910868697172016,0.5731381349770924,0.417759435532184,0.5236080862243122,0.5909883503507292
facebook/opt-1.3b,OPT,1.3,0.18,1.404,0.249630458,0.295221843,0.545309699,0.597474349,0.387106758,0.0015163,0.544028761,0.0,meta,202205.0,0.2471870104,bdsrc,,,,0.2265937742684254,0.5767327093699712,0.7203759740502411,0.5589425046833351,0.9394676220408958,0.5897334601886063,0.305664647540438,0.6288392303126144,0.5751361184779439
