Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_1502_acc,0_1502_san,1502_3004_acc,1502_3004_san,3004_4506_acc,3004_4506_san,4506_6009_acc,4506_6009_san,6009_7511_acc,6009_7511_san,7511_9013_acc,7511_9013_san,9013_10516_acc,9013_10516_san,10516_12018_acc,10516_12018_san,12018_13520_acc,12018_13520_san,13520_15023_acc,13520_15023_san,brier,san
EleutherAI/pythia-6.9b-deduped,Pythia,6.9,0.3,12.42,0.264809441,0.412969283,0.670483967,0.640883978,0.351945849,0.016679303,0.652470454,0.085365854,EleutherAI,202302.0,0.2605754166,bdsrc,,,,0.0,0.7569457560479543,0.0039946737683089215,0.7213979695282081,0.023968042609853527,0.678089794521304,0.07385229540918163,0.6564949746605613,0.15446071904127828,0.6331139349099445,0.30758988015978694,0.6224825009736158,0.5495675316034597,0.6367713788251192,0.8302263648468708,0.6903268577914545,0.966711051930759,0.7632653989088095,0.9926813040585496,0.8146648058893061,0.5414545011904655,0.6973563932628568
EleutherAI/pythia-2.8b-deduped,Pythia,2.8,0.3,5.04,0.267846374,0.362627986,0.60655248,0.602209945,0.355597823,0.008339651,0.639989047,0.048780488,EleutherAI,202302.0,0.2663438257,bdsrc,,,,0.002663115845539281,0.8990828219379986,0.005992010652463382,0.8695866830030284,0.02729693741677763,0.8341343981601651,0.06786427145708583,0.8109633033436361,0.15579227696404793,0.7829142056132932,0.2862849533954727,0.7756549521923086,0.500998003992016,0.8012897113274172,0.833555259653795,0.8692891844330901,0.9773635153129161,0.923554631580556,0.9946773120425815,0.9466471175301079,0.5460628303588562,0.8513120314073662
EleutherAI/pythia-12b-deduped,Pythia,12.0,0.3,21.6,0.256306029,0.413822526,0.702648875,0.664561957,0.329988729,0.014404852,0.682420515,0.115853659,EleutherAI,202302.0,0.2617148554,bdsrc,,,,0.0,0.872647745848635,0.008655126498002663,0.8438244746349992,0.02862849533954727,0.8157732552965209,0.06919494344644045,0.7984344697982451,0.15579227696404793,0.7932265269451597,0.30958721704394143,0.7892737763109363,0.5948103792415169,0.7982634566708042,0.8808255659121171,0.8450932604922586,0.9860186418109188,0.8906796257090654,0.9986693280106453,0.924754477677738,0.5377373252861676,0.8371977633375075
EleutherAI/pythia-70m-deduped,Pythia,0.07,0.3,0.126,0.25260507,0.210750853,0.271659032,0.496448303,0.475143855,0.0,0.510099914,0.0,EleutherAI,202302.0,0.2573707449,bdsrc,,,,0.07057256990679095,0.03815447725406989,0.16711051930758988,0.037490197522574764,0.14513981358189082,0.04664030296813759,0.09913506320691949,0.04951512841794336,0.09187749667110519,0.05675845997969764,0.09387483355525965,0.05148299627597153,0.10312707917498337,0.049035074803863044,0.08921438082556592,0.03872663763895071,0.07057256990679095,0.029381225446068315,0.15635395874916833,0.01840745271630323,0.7854273003230623,0.04155868142829994
EleutherAI/pythia-1.4b-deduped,Pythia,1.4,0.3,2.52,0.255554967,0.326791809,0.549591715,0.573007103,0.386584645,0.008339651,0.594062854,0.042682927,EleutherAI,202302.0,0.2502492522,bdsrc,,,,0.0006657789613848203,0.6687254208985269,0.004660452729693742,0.6466930603369198,0.018641810918774968,0.6206746928612619,0.05256154357950765,0.6063068211035856,0.11251664447403462,0.5957808163252919,0.237017310252996,0.5933566282270412,0.49101796407185627,0.6099578195287131,0.784953395472703,0.6139525563971234,0.9513981358189081,0.653213736521968,0.9940119760479041,0.7309263244695492,0.5705122068485334,0.6339618040154028
EleutherAI/pythia-160m-deduped,Pythia,0.16,0.3,0.288,0.24860575,0.240614334,0.313881697,0.513812155,0.443404464,0.00227445,0.523599803,0.0,EleutherAI,202302.0,0.2527417747,bdsrc,,,,0.009986684420772303,0.1833133168307776,0.02729693741677763,0.17036624305386935,0.06857523302263649,0.16587545299997342,0.12042581503659348,0.1590335060231773,0.18308921438082557,0.15335995649010373,0.2822902796271638,0.14443469365692013,0.38323353293413176,0.13649867867227164,0.5093209054593875,0.13622977053113802,0.6577896138482024,0.1286463632425643,0.8682634730538922,0.1446143843572026,0.6144572644236307,0.15223613393382
bigscience/bloom-560m,BLOOM,0.56,0.341,1.14576,0.242154121,0.247440273,0.371539534,0.519337017,0.424442817,0.0030326,0.578551515,0.006097561,bigscience(huggingface),202207.0,0.2444096283,rllab,,,,0.0013315579227696406,0.6929621018575313,0.007323568575233023,0.6446551365958639,0.020639147802929428,0.6089380108570828,0.04590818363273453,0.5746337859322976,0.10252996005326231,0.5275357426600508,0.21238348868175766,0.515808190779,0.4597471723220226,0.5373150118813012,0.8115845539280959,0.6384772514156906,0.9753661784287616,0.7262563409823453,0.9933466400532269,0.7456140974292681,0.5892326195914049,0.6212191612741599
bigscience/bloom-1b1,BLOOM,1.1,0.341,2.2506,0.267021483,0.283276451,0.427803226,0.55011839,0.41797167,0.00227445,0.609512962,0.0,bigscience(huggingface),202207.0,0.2658453212,rllab,,,,0.005992010652463382,0.5155347514124436,0.020639147802929428,0.4906246688055692,0.043941411451398134,0.46998688126327137,0.08715901530272788,0.46507068191958223,0.1118508655126498,0.4553865783268982,0.1584553928095872,0.43972028102344785,0.24018629407850964,0.42755357813844225,0.5932090545938749,0.46515654553267816,0.855525965379494,0.5043877262973052,0.959414504324684,0.5428868947771112,0.6246971782980797,0.477631033054309
bigscience/bloom-3b,BLOOM,3.0,0.341,6.138,0.265925092,0.357508532,0.543716391,0.576164167,0.40572463,0.015163002,0.664767416,0.018292683,bigscience(huggingface),202207.0,0.2593647629,rllab,,,,0.0006657789613848203,0.5478972327075603,0.008655126498002663,0.5206110130478105,0.033288948069241014,0.5133326605886802,0.09580838323353294,0.5039409563937541,0.11717709720372836,0.4958555232081403,0.20439414114513982,0.4931766643007345,0.3978709248170326,0.4819395358890517,0.7170439414114514,0.4987928249834953,0.8954727030625832,0.5331155015331185,0.980705256154358,0.5760220444947171,0.5854093550368875,0.5164692275957966
bigscience/bloom-7b1,BLOOM,7.1,0.341,14.5266,0.262462224,0.411262799,0.619996017,0.6543015,0.388978422,0.013646702,0.697719119,0.048780488,bigscience(huggingface),202207.0,0.2629967241,rllab,,,,0.009320905459387484,0.7283454328175765,0.019307589880159785,0.685607097886852,0.05992010652463382,0.6607438182887136,0.12574850299401197,0.6357043348196681,0.16644474034620507,0.6156778354610011,0.22170439414114515,0.5954651774878748,0.36260811709913504,0.5833846601217575,0.547936085219707,0.6333371842750837,0.7996005326231691,0.7252701157369037,0.9580838323353293,0.7887938036500762,0.586147988640356,0.6652337570750168
