Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_58_brier,0_58_san,58_116_brier,58_116_san,116_175_brier,116_175_san,acc,brier,san
bigscience/bloom-1b1,BLOOM,1.1,0.341,2.2506,0.267021483,0.283276451,0.427803226,0.55011839,0.41797167,0.00227445,0.609512962,0.0,bigscience(huggingface),202207.0,0.2658453212,rllab,,,,0.429067704721015,0.815354229059829,0.6142467207370326,0.8123809079343578,0.8006921371881871,0.7878999788895639,0.2571428571428571,0.6157318444038274,0.8051127811436979
bigscience/bloom-3b,BLOOM,3.0,0.341,6.138,0.265925092,0.357508532,0.543716391,0.576164167,0.40572463,0.015163002,0.664767416,0.018292683,bigscience(huggingface),202207.0,0.2593647629,rllab,,,,0.44985033995703616,0.8709423422661713,0.57036536473065,0.8556789206777561,0.6762804738801019,0.8418749878740843,0.2857142857142857,0.5661317647474964,0.8560837573446788
bigscience/bloom-7b1,BLOOM,7.1,0.341,14.5266,0.262462224,0.411262799,0.619996017,0.6543015,0.388978422,0.013646702,0.697719119,0.048780488,bigscience(huggingface),202207.0,0.2629967241,rllab,,,,0.45164194861716633,0.8789877658879846,0.5627652513480198,0.8772394135560866,0.6280604482643349,0.8417082509547114,0.30857142857142855,0.5479496231175801,0.8658397897947662
bigscience/bloom,BLOOM,176.0,0.366,386.496,0.308540091,0.504266212,0.764090819,0.720599842,0.397596228,0.06899166,0.735544419,0.12195122,bigscience(huggingface),202207.0,,,,,,,,,,,,,,
EleutherAI/gpt-neox-20b,GPT-Neo/J,20.0,0.472,56.64,0.250025953,0.457337884,0.734515037,0.689029203,0.31613146,0.054586808,0.716280975,0.12804878,EleutherAI,202103.0,0.2487537388,bdsrc,,,,0.3338494430239099,0.91916473274947,0.5015087111350818,0.9249274201910941,0.5876981570174555,0.9139023497480293,0.4685714285714286,0.47499979545857945,0.9193004771753516
EleutherAI/gpt-neo-2.7B,GPT-Neo/J,2.7,0.42,6.804,0.264539788,0.333617747,0.562437761,0.600631413,0.397779599,0.012888552,0.573989469,0.067073171,EleutherAI,202103.0,0.2656316764,bdsrc,,,,0.4405501162043062,0.8106294006720386,0.5209124356843206,0.8029776589223648,0.768224296082128,0.770202302617231,0.3028571428571429,0.5776574941622051,0.794463687490812
EleutherAI/gpt-neo-1.3B,GPT-Neo/J,1.3,0.38,2.964,0.248216555,0.312286689,0.484664409,0.569060773,0.39629306,0.004548901,0.561091098,0.036585366,EleutherAI,202103.0,0.2445520581,bdsrc,,,,0.4403509980977361,0.7589930578382471,0.5770529183976952,0.7354004853515408,0.7600985504244696,0.7416468948366925,0.2571428571428571,0.5934585236101636,0.7453256702878425
EleutherAI/gpt-neo-125m,GPT-Neo/J,0.125,0.3,0.225,0.259703914,0.229522184,0.302628958,0.517758485,0.455761631,0.0030326,0.502213531,0.006097561,EleutherAI,202103.0,0.2579404643,bdsrc,,,,0.31187079443896987,0.54306107571421,0.7361962431723568,0.45654540225078877,0.8607039285346573,0.4718020297374291,0.24571428571428572,0.6375395426571528,0.4903628312941612
EleutherAI/gpt-j-6b,GPT-Neo/J,6.05,0.402,14.5926,0.267839994,0.413822526,0.675363473,0.659826361,0.359624729,0.029567854,0.681077656,0.115853659,EleutherAI,202103.0,0.2693348526,bdsrc,,,,0.3622967242132721,0.8636886302410398,0.49158106763413817,0.8617126961154846,0.6647601227925696,0.8301094422841505,0.4057142857142857,0.5071186238394935,0.8517127658482468
facebook/opt-6.7b,OPT,6.7,0.18,7.236,0.245674066,0.391638225,0.686616212,0.659826361,0.351221498,0.009855951,0.594269081,0.006097561,meta,202205.0,0.2483264492,bdsrc,,,,0.4253005024983547,0.9021848955696565,0.5457550593243268,0.8986043261126987,0.7575624829556464,0.877619187689064,0.26285714285714284,0.577242337600564,0.8927160396070366
facebook/opt-1.3b,OPT,1.3,0.18,1.404,0.249630458,0.295221843,0.545309699,0.597474349,0.387106758,0.0015163,0.544028761,0.0,meta,202205.0,0.2471870104,bdsrc,,,,0.40100705442725193,0.8054190076323412,0.5554872859876764,0.7827673730195764,0.7704400004456565,0.7685492411083319,0.2914285714285714,0.5767578958306262,0.7854812303040158
facebook/opt-350m,OPT,0.35,0.18,0.378,0.260230967,0.235494881,0.367257518,0.52644041,0.408285328,0.0030326,0.51811094,0.0,meta,202205.0,0.2612875659,bdsrc,,,,0.3751493441052599,0.7487841070530395,0.6391236919063357,0.6833976557410785,0.8124495936401372,0.6407031195674497,0.26857142857142857,0.6100706406482322,0.6906744359802192
facebook/opt-13b,OPT,13.0,0.18,14.04,0.248956622,0.399317406,0.71200956,0.685082873,0.340958399,0.017437453,0.608779356,0.006097561,meta,202205.0,0.2527417747,bdsrc,,,,0.4499627074162359,0.8846700451652849,0.5229753395281642,0.9021980404740971,0.6605173936280254,0.9028497745356545,0.3485714285714286,0.5451481882675926,0.8966084895125019
facebook/opt-2.7b,OPT,2.7,0.18,2.916,0.254319729,0.339590444,0.614319857,0.619573796,0.37425418,0.00227445,0.568486894,0.0,meta,202205.0,0.2543085031,bdsrc,,,,0.45729307561235655,0.8444642604598382,0.5925016821231972,0.8602428208889347,0.7075417156633799,0.8206271780821203,0.26285714285714284,0.5864746124160091,0.8416572241432798
facebook/opt-30b,OPT,30.0,0.18,32.4,0.2665873,0.432593857,0.740689106,0.706393054,0.351638263,0.021986353,0.626407888,0.012195122,meta,202205.0,0.2675544794,bdsrc,,,,0.47130430530781575,0.9377810005687737,0.5247540957332486,0.9398564393622647,0.6616002859703822,0.9302059860678216,0.30857142857142855,0.5531760236150531,0.935914998251438
facebook/opt-125m,OPT,0.125,0.18,0.135,0.260155876,0.228668942,0.314678351,0.516179953,0.42868758,0.00075815,0.498684238,0.0,meta,202205.0,0.2607178465,bdsrc,,,,0.45101770158763843,0.5864929105291287,0.6662894301131558,0.5773378073887268,0.6886388189971485,0.4960582087089242,0.26285714285714284,0.6024771654827304,0.5529692340174979
facebook/opt-66b,OPT,66.0,0.18,71.28,0.269930021,0.46331058,0.76249751,0.700078927,0.35429656,0.016679303,0.642631463,0.012195122,meta,202205.0,,,,,,,,,,,,,,
mosaicml/mpt-30b,MPT,30.0,1.0,180.0,0.479981807,0.559726962,0.8242382,0.749013418,0.384155825,0.169067475,0.745335406,0.213414634,mosaicml,202306.0,0.4727246831,bdsrc,,,,0.21870065445021827,0.979340219287381,0.16649471618617392,0.9778593067464433,0.35638193000515134,0.9688917396943517,0.7142857142857143,0.24781637352694114,0.9753267722967345
mosaicml/mpt-7b,MPT,7.0,1.0,42.0,0.280684314,0.476962457,0.775343557,0.721389108,0.335450604,0.040181956,0.714400118,0.164634146,mosaicml,202305.0,,bdsrc,,,,0.42575740427892245,0.9515635757236612,0.44096112623116523,0.9558722544251523,0.546161947145616,0.9472090562581316,0.46285714285714286,0.47138988372100793,0.9515234998163487
facebook/xglm-564M,XGLM,0.564,0.5,1.692,0.251796636,0.245733788,0.346444931,0.522494081,0.404320588,0.00227445,0.585509055,0.0,meta,202112.0,0.2503916821,rllab,,,,,,,,,,,,
